# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_3.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.67098,0.574878,0.92784,1,3,0,8.5618,0.299128
-7.7255,0.974182,0.541876,2,7,0,7.88731,0.391621
-7.63817,0.979841,0.7035,2,3,0,7.81483,0.333221
-7.77276,0.92962,0.921228,1,1,0,7.77304,0.265577
-7.67615,1,1.08991,1,1,0,7.74882,0.296585
-7.67615,1.55084e-05,1.47769,1,1,0,8.69706,0.296585
-7.63828,0.996636,0.284212,3,7,0,7.82559,0.335374
-7.87636,0.956732,0.384101,1,3,0,8.22107,0.430742
-7.89609,0.996668,0.479214,1,1,0,7.92918,0.434802
-7.78081,0.956854,0.644263,1,3,0,8.20181,0.263678
-8.73247,0.728507,0.800392,1,1,0,8.73334,0.159528
-9.42129,0.966775,0.642199,2,3,0,9.48055,0.12347
-7.65014,0.939887,0.811343,2,3,0,9.69123,0.312506
-10.6014,0.192752,0.972215,2,3,0,10.6196,0.0842122
-8.20479,0.993293,0.28534,3,7,0,11.6657,0.20183
-7.64169,0.947988,0.378966,1,3,0,9.46196,0.34481
-7.64134,0.998516,0.461386,2,3,0,7.65757,0.34422
-7.66879,0.992587,0.615906,2,3,0,7.69303,0.367537
-7.66213,1,0.811182,2,3,0,7.66786,0.304015
-8.2904,0.66168,1.0805,1,1,0,8.35236,0.193492
-7.80264,1,0.772174,2,3,0,8.14818,0.258808
-7.80264,0.954768,1.02622,1,3,0,7.8839,0.258808
-7.80264,0.601355,2.50641,1,1,0,8.28768,0.258808
-7.80264,1.6005e-194,15.9484,1,3,1,8.95921,0.258808
-7.7433,0.772783,1.88119,2,3,0,8.34138,0.397412
-7.87049,0.976869,1.09213,2,3,0,8.00366,0.429504
-7.67378,1,1.25146,2,7,0,7.82932,0.297725
-8.05483,0.90395,1.718,1,3,0,8.10472,0.463105
-7.96808,0.810975,1.8852,2,3,0,8.50599,0.448461
-8.18198,0.920585,1.59942,1,1,0,8.28551,0.482069
-8.18198,0.00404211,1.94431,1,1,0,14.555,0.482069
-8.26026,0.999977,0.132801,6,63,0,8.27065,0.49265
-8.61052,0.997143,0.211843,2,5,0,8.81098,0.533226
-7.63866,0.991453,0.339014,2,7,0,9.65429,0.329066
-7.67269,0.998951,0.536171,2,5,0,7.68152,0.369679
-7.69299,0.974992,0.869961,1,3,0,8.03574,0.289383
-7.76319,0.985333,1.30849,1,1,0,7.76444,0.26792
-8.41499,0.80122,2.02751,2,3,0,8.41535,0.182587
-8.80256,0.970275,1.7756,2,3,0,8.9988,0.552192
-7.64004,1,2.61449,1,1,0,7.95529,0.341686
-7.71942,0.836222,4.19198,1,1,0,7.82058,0.280148
-7.71942,2.06366e-07,4.08004,1,1,0,8.03674,0.280148
-7.66846,0.999794,0.328513,2,5,0,7.74908,0.300437
-7.73225,0.997288,0.530424,2,7,0,7.81706,0.276255
-8.05785,0.963676,0.843907,3,7,0,8.71993,0.463587
-7.70056,0.943991,1.20871,1,3,0,8.48845,0.286533
-7.88721,0.882248,1.62627,2,3,0,8.31047,0.24278
-7.88721,0.59504,1.82538,1,3,0,9.31928,0.24278
-9.27992,0.843693,0.906528,1,3,0,10.2277,0.129771
-7.65491,0.994688,0.916074,2,5,0,9.21749,0.308761
-8.02383,0.921172,1.40953,1,3,0,8.06272,0.222611
-8.18678,0.949881,1.75763,1,1,0,8.29863,0.203688
-7.89357,0.950571,2.36231,1,3,0,7.96919,0.434292
-7.92201,0.415478,3.16549,1,3,0,7.93977,0.237117
-8.07917,0.983293,0.998764,1,1,0,8.0802,0.2157
-7.95739,1,1.46382,1,1,0,8.10431,0.231767
-7.78757,1,2.22871,1,1,0,7.96255,0.262129
-7.78757,0.0207495,3.3705,1,1,0,7.88644,0.262129
-7.85564,0.999114,0.393598,3,7,0,7.89328,0.248332
-7.85144,1,0.598005,2,3,0,7.86291,0.249104
-7.8627,0.998955,0.904696,1,1,0,7.8796,0.247052
-10.5312,0.515384,1.35633,1,3,0,12.0852,0.67326
-10.3448,1,0.594628,2,3,0,10.5918,0.662974
-9.93096,1,0.891033,1,1,0,10.4359,0.638278
-9.93474,1,1.32713,2,7,0,9.93948,0.103906
-8.65525,1,1.96504,1,1,0,9.77284,0.164631
-8.30839,1,2.89298,1,1,0,9.08806,0.191835
-8.30839,1.93161e-18,4.23545,1,1,0,10.2032,0.191835
-8.10267,1,0.54718,2,3,0,8.31339,0.21293
-8.09821,1,0.805994,1,1,0,8.13454,0.213449
-8.37705,0.962555,1.1808,1,1,0,8.38749,0.185773
-8.89756,0.895433,1.57449,1,1,0,8.98324,0.149484
-7.6616,1,1.78517,1,1,0,8.17822,0.304334
-7.6616,0,23.449,0,1,1,8.02721,0.304334
-7.6616,0.00288895,3.42871,1,1,0,8.34829,0.304334
-7.72388,0.996628,0.289246,2,7,0,7.92364,0.278759
-7.65829,0.997994,0.326514,4,15,0,7.96611,0.360979
-7.70166,0.996769,0.426518,1,3,0,7.73974,0.382877
-7.97293,0.963069,0.604434,2,3,0,8.19819,0.449328
-8.49882,0.868398,0.812471,3,7,0,9.30417,0.175918
-7.86601,0.986555,0.835536,3,7,0,8.57905,0.246459
-7.63832,0.989515,1.26711,2,3,0,7.80735,0.335659
-7.77045,0.872283,1.96257,1,1,0,7.80961,0.4054
-7.77045,0.511913,2.11096,1,1,0,7.813,0.4054
-7.8634,0.986144,0.73262,1,1,0,7.86482,0.427988
-8.95614,0.652823,1.13864,2,3,0,9.79651,0.146169
-7.98756,0.989994,0.625088,1,3,0,9.34156,0.227479
-8.25942,0.931849,0.985139,2,3,0,8.77512,0.196421
-8.03724,1,1.29297,2,3,0,8.21197,0.460267
-7.67473,1,2.08442,1,1,0,7.70927,0.297263
-7.67473,0.059186,3.33916,1,1,0,7.67503,0.297263
-7.6552,0.988386,0.314075,2,7,0,8.64352,0.358746
-8.01235,0.974398,0.490505,2,5,0,8.3257,0.224121
-8.88639,0.932969,0.730162,3,7,0,9.42227,0.15013
-8.57052,0.803734,0.956722,1,3,0,11.5037,0.529029
-7.71581,0.539437,0.857428,3,7,0,12.8745,0.281304
-7.98539,0.986176,0.359562,2,7,0,8.62131,0.22778
-7.64106,0.974766,0.548567,1,3,0,8.67138,0.323049
-7.79954,0.963965,0.804668,1,3,0,7.9455,0.413117
-8.3957,0.802719,1.1378,1,1,0,8.41454,0.509471
-7.69882,1,1.02089,1,3,0,8.20432,0.381734
-7.90818,0.875867,1.58239,2,3,0,7.94917,0.239316
-8.05324,0.893431,1.7332,1,3,0,8.0585,0.462852
-10.3204,0.140267,1.98814,1,1,0,10.3216,0.0918706
-8.50186,0.986035,0.299194,3,9,0,13.4558,0.521598
-7.85084,0.987796,0.444846,2,7,0,9.06437,0.425244
-7.64943,1,0.660235,2,3,0,7.82806,0.353958
-7.79829,0.744683,1.00546,2,3,0,9.25962,0.259748
-8.18439,0.874161,0.781397,1,3,0,9.43742,0.482406
-7.80331,0.916718,0.852311,1,3,0,9.11965,0.258664
-7.65758,0.93789,1.03557,2,3,0,8.29852,0.360481
-7.64723,0.798926,1.32396,2,3,0,8.10241,0.315186
-8.17604,0.872486,1.18646,1,3,0,8.20066,0.204815
-8.17604,0.714118,1.28092,1,3,0,9.75636,0.204815
-7.67354,0.964675,0.930736,1,3,0,8.52106,0.370131
-7.74004,0.981249,1.26291,2,3,0,7.77475,0.27403
-7.74004,0.48798,1.77688,1,1,0,8.34086,0.27403
-7.92517,0.918722,0.746858,1,3,0,8.75715,0.440519
-7.7786,1,0.901959,1,1,0,7.89872,0.407637
-7.78665,0.996093,1.32089,1,1,0,7.85319,0.409787
-7.78665,0.678596,1.90625,1,1,0,8.0913,0.409787
-9.25852,0.49815,1.28858,1,1,0,9.30897,0.591191
-9.41953,0.985477,0.572235,1,1,0,9.5127,0.603416
-10.346,0.851316,0.80391,1,1,0,10.4565,0.663041
-9.42188,1,0.822868,1,1,0,10.3062,0.603589
-7.66421,1,1.18717,1,3,0,8.73526,0.364839
-7.66421,0.253167,1.7046,1,1,0,8.26672,0.364839
-8.6344,0.961208,0.443186,2,7,0,8.89438,0.535688
-8.39774,1,0.583608,2,3,0,8.62268,0.509712
-8.35832,0.997826,0.835795,3,7,0,8.52085,0.504994
-8.02867,1,1.18581,2,3,0,8.35287,0.458862
-8.62236,0.647236,1.68329,1,3,0,8.68027,0.166893
-8.27679,1,1.08991,1,1,0,8.63021,0.194768
-7.64361,1,1.54128,1,1,0,7.94285,0.319245
-7.64361,0.542348,2.17058,1,1,0,7.71105,0.319245
-7.69235,0.970887,1.12541,2,3,0,7.7845,0.379033
-7.69235,0.451673,1.48486,2,3,0,8.52874,0.379033
-7.98456,0.888105,0.639549,2,5,0,9.23518,0.227895
-7.98549,0.95999,0.706877,2,3,0,8.64509,0.227765
-9.6722,0.815301,0.909218,1,3,0,9.94549,0.113325
-7.74011,0.96691,0.858799,3,7,0,9.8227,0.396413
-8.18645,0.854898,1.11638,1,1,0,8.19283,0.482694
-7.67797,1,1.14479,1,3,0,8.0013,0.372402
-7.67797,0.529153,1.5871,1,3,0,8.24289,0.372402
-7.70525,0.972408,0.827477,1,3,0,7.90222,0.284859
-7.91844,0.933605,1.08182,2,3,0,8.20529,0.237679
-7.78798,1,1.30258,1,1,0,7.91625,0.262035
-7.78798,0.354891,1.79208,1,1,0,8.73614,0.262035
-7.64784,0.977583,0.664468,1,3,0,8.1373,0.352432
-7.89441,0.926048,0.873795,2,3,0,8.18607,0.241572
-7.66357,1,1.03326,1,3,0,7.84518,0.303163
-10.6997,0.191071,1.41387,1,1,0,10.6998,0.682164
-8.48786,1,0.386349,3,7,0,10.7313,0.520045
-8.31408,0.997419,0.529507,3,7,0,8.6897,0.499539
-8.17835,1,0.719801,1,1,0,8.3341,0.48156
-8.17835,0.779123,0.980513,1,1,0,8.8659,0.48156
-7.81195,0.920546,0.865659,1,3,0,9.08515,0.256841
-7.65218,0.837173,1.00677,2,3,0,9.14389,0.356358
-7.75516,0.965266,0.995238,1,3,0,7.84313,0.269964
-8.55405,0.770619,1.25873,1,1,0,8.55417,0.171774
-7.64467,0.963717,1.09434,1,3,0,8.53685,0.348961
-7.63818,1,1.37633,1,1,0,7.64149,0.33386
-7.64094,0.997591,1.85047,1,1,0,7.64132,0.323248
-7.64094,2.02953e-07,2.47007,1,1,0,9.39659,0.323248
-7.65472,0.998909,0.503735,2,7,0,7.66864,0.308896
-7.78949,0.957891,0.676126,3,7,0,8.38918,0.261695
-7.84223,0.99729,0.838515,2,3,0,7.85314,0.250831
-8.02876,0.980767,1.1167,2,3,0,8.02912,0.458877
-7.82194,1,1.43888,1,1,0,8.02666,0.418613
-7.63824,1,1.91664,1,1,0,7.68701,0.33495
-7.63824,0.0126514,2.54684,1,1,0,8.57372,0.33495
-8.04573,0.923902,0.556651,2,5,0,9.09423,0.219807
-8.04573,3.24931e-32,5.16656,1,1,0,8.06265,0.219807
-8.04573,4.36017e-156,11.0159,1,2,1,8.64421,0.219807
-8.07936,0.995371,0.939745,1,1,0,8.13059,0.215678
-7.69257,0.934902,0.820519,1,3,0,9.0275,0.37913
-7.7824,0.941622,0.77536,1,3,0,8.35412,0.263309
-7.80956,0.996548,0.848809,1,1,0,7.8205,0.25734
-8.28987,0.924574,1.18998,1,3,0,8.28989,0.193542
-7.70854,0.922584,1.40989,2,3,0,8.86283,0.283721
-9.92711,0.377464,1.71062,1,1,0,9.92712,0.104165
-7.66711,0.99976,0.378386,3,9,0,10.0424,0.301165
-7.64855,0.998085,0.603455,3,7,0,7.74499,0.353124
-7.6575,0.992456,0.968234,2,7,0,7.70426,0.306954
-7.66592,0.818143,1.53466,2,3,0,8.04043,0.301824
-7.66592,0.336496,1.41054,1,3,0,9.87429,0.301824
-8.24241,0.985935,0.290142,2,7,0,9.17676,0.490299
-7.67891,0.999245,0.456791,3,7,0,8.32308,0.37287
-8.07798,0.930169,0.747099,2,3,0,8.49553,0.466753
-8.12811,0.988956,0.984759,1,1,0,8.21,0.474338
-8.83275,0.706085,1.54723,2,3,0,9.12108,0.555014
-8.83275,0.599218,1.03251,1,1,0,10.5465,0.555014
-7.64727,1,0.504834,2,7,0,8.8291,0.315154
-7.75475,0.970708,0.817618,1,3,0,7.96273,0.400889
-8.52582,0.776558,1.20628,1,1,0,8.52595,0.524225
-8.39089,1,1.00607,2,3,0,8.63328,0.508902
-7.69043,1,1.60309,1,1,0,8.04302,0.378202
-7.69043,0.0128281,2.53493,1,1,0,8.80589,0.378202
-7.7855,0.996129,0.242763,2,7,0,8.20445,0.409485
-7.97751,0.997163,0.383004,4,15,0,8.065,0.228881
-7.99307,0.999698,0.601442,2,3,0,8.00851,0.226721
-7.68744,0.95794,0.943995,1,3,0,8.47001,0.376879
-7.68744,0.696696,1.31169,1,3,0,8.4326,0.376879
-7.6747,0.989877,0.891636,3,7,0,7.79169,0.297281
-7.98629,0.928833,1.34358,1,3,0,7.98641,0.227654
-7.68094,0.972126,1.70843,1,3,0,7.81494,0.373858
-7.94859,0.70526,2.42696,1,1,0,8.17904,0.44492
-10.3886,0.206892,1.69956,1,1,0,10.7982,0.665433
-9.6253,1,0.326131,2,3,0,10.3807,0.618107
-8.31823,1,0.50017,2,3,0,9.55116,0.500058
-8.11308,1,0.761954,1,1,0,8.30309,0.472105
-8.11308,0.436264,1.15319,1,3,0,11.4529,0.472105
-9.50318,0.96788,0.416625,3,9,0,9.69661,0.120022
-8.42011,1,0.58056,2,3,0,9.45699,0.182167
-7.77463,1,0.872042,2,3,0,8.39958,0.26513
-8.03384,0.788486,1.30197,2,3,0,9.02847,0.221317
-7.81713,1,1.1493,2,3,0,7.99393,0.255773
-8.09887,0.879491,1.70237,2,3,0,8.1896,0.213373
-8.04699,0.902068,1.87267,1,3,0,8.09633,0.461848
-7.9828,1,2.17184,1,1,0,7.99124,0.228139
