# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_4.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-8.47855,4.64378e-17,2,1,1,0,9.02221,0.177488
-8.47855,2.52632e-13,2.13215,2,3,0,8.48715,0.177488
-9.72404,0.994849,0.18189,4,15,0,9.78354,0.624826
-9.68786,1,0.158593,1,1,0,9.74585,0.622387
-10.5996,0.973962,0.18048,1,3,0,11.0578,0.676915
-9.2619,1,0.219329,2,3,0,10.5543,0.591455
-8.90515,1,0.313185,1,1,0,9.24071,0.561627
-8.90515,0.843788,0.471653,1,1,0,9.80509,0.561627
-8.27073,1,0.449097,1,1,0,8.80944,0.494013
-7.73207,0.982338,0.710463,2,3,0,8.42587,0.276309
-7.73207,0.521106,1.07571,1,1,0,8.29999,0.276309
-7.92314,0.988405,0.381607,2,3,0,7.93612,0.236941
-7.80513,1,0.595905,1,1,0,7.91122,0.258276
-8.75922,0.640728,0.965686,1,1,0,8.82966,0.157824
-8.55843,1,0.509359,1,1,0,8.79605,0.171454
-7.84295,0.798555,0.826074,2,3,0,9.6807,0.250695
-7.64622,0.97747,0.717424,2,3,0,7.97741,0.316216
-7.6719,0.981056,1.07974,1,1,0,7.68289,0.298661
-7.6719,0.655541,1.6342,1,1,0,7.67213,0.298661
-7.83502,0.934056,0.92415,2,3,0,7.85452,0.252214
-7.67272,1,1.21083,1,1,0,7.69131,0.369694
-7.83112,0.2339,1.9202,2,3,0,8.03579,0.252973
-8.5511,0.935642,0.319906,1,3,0,9.29303,0.171991
-8.64097,0.993263,0.422524,1,1,0,8.69137,0.165606
-9.90476,0.939996,0.655962,2,3,0,9.90939,0.104927
-12.3773,0.664346,0.868267,1,1,0,12.533,0.0502235
-11.3837,1,0.523959,1,1,0,12.3812,0.0666762
-9.18914,1,0.818741,1,1,0,11.0392,0.134072
-8.04868,1,1.26986,1,1,0,8.11647,0.46212
-8.04868,0.000942177,1.95516,1,1,0,8.0495,0.46212
-8.07128,0.999789,0.193753,2,3,0,8.07443,0.465706
-7.78828,0.996851,0.300666,2,3,0,8.18369,0.410218
-7.66063,0.996618,0.459563,3,7,0,7.84527,0.30493
-7.63899,0.996154,0.697155,2,3,0,7.67962,0.338875
-7.6516,0.990874,1.04918,1,1,0,7.65177,0.311295
-7.81852,0.75564,1.54703,1,1,0,7.93623,0.417795
-7.81852,0.428076,1.22735,1,1,0,7.92978,0.417795
-8.152,0.975633,0.418556,3,7,0,8.31686,0.477816
-8.48045,0.917276,0.592235,1,1,0,8.55293,0.519217
-7.70638,0.889575,0.718291,2,3,0,9.02392,0.284463
-7.6962,1,0.809798,2,3,0,7.7043,0.380658
-7.6962,0.140048,1.20244,1,1,0,8.35973,0.380658
-7.64798,0.99664,0.208105,3,7,0,7.89825,0.352565
-7.63866,0.999993,0.307662,2,7,0,7.64849,0.337622
-7.72235,0.981412,0.455987,1,3,0,7.82526,0.279233
-7.7111,0.951314,0.642206,2,3,0,8.06512,0.386501
-8.45916,0.554805,0.836769,2,3,0,9.22472,0.516818
-8.27382,1,0.418481,3,7,0,8.45346,0.195048
-8.01676,1,0.61198,1,1,0,8.25125,0.223537
-7.66516,1,0.890267,1,1,0,7.86044,0.30225
-7.89017,0.770889,1.28851,1,1,0,7.9457,0.4336
-7.77603,1,1.08522,1,3,0,7.80692,0.264798
-7.77603,1.07571e-07,1.56082,1,1,0,8.88882,0.264798
-7.70592,0.998886,0.221514,1,3,0,7.83807,0.284624
-7.95483,0.921423,0.319481,2,7,0,9.93647,0.446066
-9.08123,0.854425,0.384294,2,5,0,10.1326,0.139472
-8.69486,1,0.396142,1,1,0,9.05766,0.161979
-8.3919,0.971024,0.56665,2,3,0,9.3204,0.184513
-7.64059,0.950933,0.756226,2,3,0,8.33499,0.342836
-7.96723,0.826964,0.961637,1,1,0,7.96736,0.230342
-7.99122,0.983159,0.926699,2,3,0,8.15411,0.226974
-7.7748,1,1.2597,1,1,0,7.78187,0.406601
-7.7748,0.0252672,1.77013,1,1,0,8.51705,0.406601
-7.65738,1,0.297483,2,7,0,7.77221,0.360344
-7.80074,0.95109,0.419796,1,3,0,8.24973,0.259217
-7.63821,0.994216,0.531144,1,3,0,7.85945,0.332059
-7.76643,0.965517,0.734932,1,3,0,7.77493,0.267117
-7.86018,0.851791,0.953206,2,3,0,7.9999,0.427291
-10.3546,0.22014,0.96923,2,3,0,10.5749,0.0908937
-8.55464,0.995599,0.261021,2,7,0,10.5346,0.171731
-7.64511,0.996213,0.360944,2,5,0,8.61904,0.317435
-7.64191,1,0.49799,1,1,0,7.64463,0.321629
-7.67193,0.992993,0.690078,1,3,0,7.67201,0.298642
-7.81412,0.934133,0.939296,2,3,0,7.83595,0.256393
-7.63846,1,1.12964,1,1,0,7.6956,0.330083
-7.63846,0.335095,1.55069,1,1,0,7.72205,0.330083
-7.73776,0.977973,0.551129,1,3,0,7.77799,0.274673
-7.94627,0.939233,0.723896,1,1,0,7.95507,0.233409
-9.18372,0.695972,0.877251,2,3,0,9.32885,0.134335
-7.64732,0.97298,0.652698,1,3,0,9.15497,0.315103
-7.68108,0.98893,0.844587,2,3,0,7.68888,0.294329
-7.69005,0.997686,1.12505,1,3,0,7.69059,0.378037
-7.69005,5.32067e-08,1.52045,1,1,0,10.6626,0.378037
-8.34852,0.948672,0.290133,2,5,0,9.18225,0.188243
-7.67665,0.999892,0.357587,3,7,0,8.35202,0.296349
-7.68123,0.999326,0.485808,1,1,0,7.68558,0.294262
-7.78582,0.964722,0.65738,1,3,0,7.89799,0.40957
-7.65561,1,0.829927,2,3,0,7.72995,0.35905
-7.66859,0.996355,1.11855,1,3,0,7.66873,0.300369
-7.66859,0.54513,1.49302,1,1,0,7.68309,0.300369
-7.73139,0.983378,0.844359,2,3,0,7.74266,0.276508
-8.0287,0.81756,1.09822,1,1,0,8.13801,0.221979
-8.11654,0.952487,1.04326,1,1,0,8.36402,0.211336
-8.47766,0.668051,1.27644,1,1,0,8.5322,0.518905
-7.65391,1,0.917311,1,1,0,8.01921,0.35775
-7.78558,0.869459,1.2243,1,1,0,7.858,0.409506
-7.78558,0.239822,1.28048,1,1,0,7.98857,0.409506
-7.99723,0.985567,0.420036,2,5,0,8.00999,0.226152
-7.88653,1,0.545701,2,3,0,7.99561,0.242896
-7.63947,0.998075,0.726282,1,3,0,7.81828,0.326423
-7.63947,1.14665e-16,7.68754,1,1,0,7.84878,0.326423
-7.63947,8.74307e-147,16.391,1,1,0,8.5425,0.326423
-7.87164,0.951379,1.39829,1,3,0,7.98265,0.245465
-7.65953,0.994737,1.08584,1,3,0,7.98117,0.305624
-7.64824,0.938796,1.20711,3,7,0,8.41365,0.35282
-7.66118,0.998727,1.31295,3,7,0,7.66406,0.362926
-8.23555,0.852211,1.85494,1,3,0,8.23873,0.489386
-7.95717,1,1.75587,1,1,0,8.21003,0.446492
-7.95717,0.0300922,2.71253,2,3,0,10.0028,0.446492
-7.8391,0.999922,0.200393,2,7,0,7.99569,0.422605
-7.84265,0.999962,0.319297,1,1,0,7.84338,0.423411
-7.74091,0.999993,0.515958,4,15,0,7.84753,0.396662
-8.03499,0.966443,0.840032,2,7,0,8.56816,0.22117
-7.94631,0.992168,1.23458,3,7,0,8.20969,0.4445
-8.06573,0.983899,1.96737,2,3,0,8.18058,0.464834
-8.29844,0.933668,3.04861,1,3,0,8.30826,0.192748
-8.29844,2.42207e-06,4.03289,1,1,0,8.77696,0.192748
-8.40494,0.999,0.307364,1,3,0,8.49262,0.183421
-7.91125,0.9992,0.503916,3,11,0,8.49333,0.437819
-8.91364,0.947215,0.821616,2,5,0,9.31649,0.148562
-8.83241,1,1.13959,2,3,0,8.98529,0.153318
-7.6789,1,1.83924,2,3,0,8.62608,0.372864
-7.6789,0.182152,2.94654,1,1,0,8.32393,0.372864
-7.73073,0.99785,0.434848,3,7,0,7.84326,0.393377
-7.74628,0.997644,0.695924,2,3,0,7.7994,0.398333
-7.79722,0.992496,1.10462,2,3,0,7.86671,0.412528
-9.36706,0.523541,1.71486,2,3,0,10.6869,0.125833
-7.72998,0.972371,0.708001,2,7,0,11.8656,0.393127
-7.89572,0.956968,1.03572,3,7,0,8.54661,0.241355
-7.66925,0.998493,1.4429,2,3,0,7.91317,0.300019
-7.7869,0.966496,2.23993,2,3,0,7.79705,0.26228
-7.7869,0.328504,3.16471,1,1,0,8.63007,0.26228
-7.97135,0.992615,0.79725,2,3,0,7.97416,0.229753
-7.64496,0.987111,1.2111,2,5,0,8.15635,0.317607
-8.08452,0.900085,1.80085,2,3,0,8.30511,0.215062
-8.34219,0.922581,2.11655,1,1,0,8.46397,0.1888
-8.34219,0.332018,2.63102,1,1,0,10.6147,0.1888
-7.99861,0.996687,0.706711,1,3,0,8.51635,0.225965
-9.07257,0.89898,1.0679,2,3,0,9.58339,0.13992
-7.72077,0.973338,1.24989,1,3,0,9.69459,0.279725
-8.09656,0.892881,1.76127,1,3,0,8.33207,0.469611
-7.65025,1,2.0173,1,1,0,7.91005,0.354694
