# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2023-07-11 13:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_2.json
# init = 2 (Default)
# random
#   seed = 1279001897 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-42-g5ae292a9
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.849297
# Diagonal elements of inverse mass matrix:
# 0.538535
-8.27379,1,0.849297,1,1,0,9.10839,0.49441
-7.71287,1,0.849297,1,3,0,8.11994,0.387156
-7.76074,0.96379,0.849297,2,3,0,7.96448,0.268535
-7.85652,0.950217,0.849297,1,3,0,8.16401,0.426492
-8.05122,0.858117,0.849297,1,3,0,8.69722,0.21912
-8.27371,0.958121,0.849297,1,1,0,8.3134,0.195058
-7.89481,0.914083,0.849297,2,7,0,8.98012,0.434544
-7.73297,1,0.849297,1,1,0,7.85537,0.394113
-8.24744,0.899486,0.849297,1,3,0,8.24834,0.490965
-7.65467,0.988016,0.849297,1,3,0,8.30736,0.308936
-7.66676,0.86428,0.849297,2,3,0,8.53883,0.301357
-8.17648,0.896785,0.849297,1,3,0,8.23668,0.204769
-8.22876,0.947008,0.849297,2,3,0,8.95179,0.199416
-8.15312,1,0.849297,1,1,0,8.30394,0.207269
-8.07424,1,0.849297,1,1,0,8.21175,0.216294
-7.66136,0.976343,0.849297,1,3,0,8.21524,0.363044
-7.73044,0.993247,0.849297,2,3,0,7.73044,0.276788
-7.73044,0.736663,0.849297,1,3,0,9.15886,0.276788
-7.6445,0.994852,0.849297,1,3,0,7.76034,0.348759
-7.64394,0.996399,0.849297,2,3,0,7.66897,0.31882
-7.66149,0.998489,0.849297,2,3,0,7.66155,0.363126
-8.04696,0.917046,0.849297,1,3,0,8.06236,0.461843
-7.71158,1,0.849297,1,3,0,7.95257,0.386681
-7.68154,0.986164,0.849297,1,3,0,7.81563,0.294125
-7.65537,0.993938,0.849297,1,3,0,7.72685,0.358873
-7.69611,0.989034,0.849297,1,1,0,7.69648,0.380624
-7.70297,0.999372,0.849297,2,3,0,7.71715,0.383396
-7.63918,1,0.849297,2,3,0,7.70025,0.327245
-7.64124,0.962748,0.849297,2,3,0,7.86691,0.322726
-7.7106,0.841206,0.849297,2,3,0,8.62796,0.283024
-7.69519,0.981895,0.849297,2,3,0,7.86877,0.380236
-7.7317,0.989965,0.849297,1,1,0,7.74077,0.393697
-7.64809,0.994451,0.849297,1,3,0,7.7669,0.314354
-7.6634,0.996191,0.849297,1,1,0,7.66382,0.303261
-7.6634,0.884041,0.849297,1,3,0,8.16855,0.303261
-8.58478,0.866401,0.849297,2,3,0,8.77709,0.169546
-8.84311,0.960015,0.849297,1,1,0,8.956,0.152677
-8.5471,1,0.849297,1,1,0,8.89461,0.172286
-8.63171,0.986228,0.849297,1,1,0,8.78621,0.166244
-8.05092,1,0.849297,1,1,0,8.52675,0.219157
-8.33075,0.94797,0.849297,1,1,0,8.36123,0.189816
-10.3449,0.88731,0.849297,2,3,0,10.3564,0.662976
-9.99488,1,0.849297,2,3,0,10.8423,0.642275
-8.62033,1,0.849297,1,1,0,9.70111,0.534242
-8.83368,0.980068,0.849297,2,3,0,9.07473,0.5551
-8.30508,1,0.849297,1,1,0,8.78783,0.498407
-7.64075,0.969139,0.849297,2,3,0,8.50007,0.343151
-9.12686,0.779785,0.849297,2,3,0,9.215,0.137149
-9.66033,0.933573,0.849297,1,1,0,9.77477,0.113778
-7.65337,1,0.849297,2,3,0,9.36884,0.309903
-7.63943,0.944579,0.849297,2,3,0,7.99293,0.340194
-7.67492,0.989753,0.849297,1,3,0,7.69167,0.297174
-7.65388,0.994635,0.849297,1,3,0,7.71545,0.357733
-7.66923,0.980067,0.849297,2,3,0,7.77717,0.300029
-7.65508,0.99477,0.849297,1,3,0,7.71019,0.358652
-7.65508,0.327196,0.849297,1,3,0,11.6048,0.358652
-7.94251,0.937567,0.849297,1,3,0,7.95487,0.443794
-7.80201,1,0.849297,1,1,0,7.92582,0.41374
-7.87854,0.919876,0.849297,1,3,0,8.30165,0.244261
-7.63855,0.996059,0.849297,1,3,0,7.89281,0.337107
-7.6964,0.874274,0.849297,2,3,0,8.37939,0.288074
-7.6621,0.972212,0.849297,2,3,0,7.90722,0.363516
-7.71315,0.93202,0.849297,2,3,0,8.06756,0.282173
-8.18439,0.952516,0.849297,2,3,0,8.21254,0.482406
-9.29834,0.724342,0.849297,1,1,0,9.3297,0.594279
-9.56786,0.927633,0.849297,1,1,0,9.98823,0.614104
-9.59219,0.993307,0.849297,1,1,0,10.138,0.615809
-9.68873,0.97382,0.849297,1,1,0,10.2254,0.622446
-8.42543,1,0.849297,1,1,0,9.39245,0.512951
-8.67374,0.930404,0.849297,1,1,0,8.8535,0.539676
-7.72864,0.950472,0.849297,1,3,0,8.98075,0.277319
-7.68145,0.972919,0.849297,2,3,0,7.96106,0.374101
