# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_1.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.7976,0.987959,0.268178,3,15,0,8.18899,0.412624
-8.52299,0.941516,0.359603,3,7,0,9.23765,0.174082
-8.31265,1,0.438387,1,1,0,8.51654,0.191447
-8.38388,0.988353,0.598783,1,1,0,8.49147,0.185191
-7.87727,1,0.796893,1,1,0,8.25413,0.244482
-7.76464,1,1.08203,1,1,0,7.90992,0.267559
-7.76464,0.0077581,1.4649,1,1,0,7.99263,0.267559
-7.63827,0.989464,0.28822,2,7,0,8.20243,0.331403
-7.64198,0.999077,0.383573,1,3,0,7.65099,0.345288
-8.41291,0.815979,0.518603,1,3,0,9.11598,0.18276
-8.33294,0.977538,0.492462,2,7,0,8.91589,0.501886
-8.10532,1,0.636518,1,1,0,8.36467,0.470939
-8.73915,0.726596,0.856526,2,3,0,9.0142,0.54613
-8.20378,1,0.685829,1,1,0,8.68523,0.485089
-8.56691,0.787279,0.920087,2,3,0,8.74967,0.528646
-8.73967,0.988406,0.826647,2,3,0,8.77587,0.159067
-8.73967,0.0270819,1.08157,1,1,0,10.1638,0.159067
-8.79641,0.998732,0.236959,1,1,0,8.80614,0.155507
-7.78552,0.99637,0.316933,3,7,0,9.13945,0.262594
-7.65427,0.977084,0.421003,1,3,0,8.15746,0.358032
-7.64934,1,0.538513,1,1,0,7.65435,0.353875
-7.71187,0.977898,0.716754,1,1,0,7.71241,0.386787
-7.71187,0.107245,3.65691,1,3,0,7.72251,0.386787
-7.71187,1.81867e-27,9.47578,1,2,1,7.76151,0.386787
-7.64201,0.990723,0.856452,3,7,0,7.8286,0.345332
-7.67679,0.994325,0.763366,2,3,0,7.70777,0.371808
-7.68106,0.997709,0.871881,3,7,0,7.71517,0.373917
-7.70414,0.997904,1.15115,2,3,0,7.71144,0.383853
-8.05425,0.872332,1.64924,2,3,0,8.07912,0.463013
-7.87035,0.944671,1.67938,2,3,0,8.09701,0.429474
-7.82578,1,2.19505,1,1,0,7.83116,0.254028
-7.82578,1.5535e-13,3.47741,1,1,0,8.85804,0.254028
-7.83153,0.999947,0.235766,1,1,0,7.83164,0.252893
-7.63885,0.99636,0.380771,2,7,0,8.18746,0.338357
