# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic0_model
# start_datetime = 2021-12-27 17:13:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_data_2.R
# init = 2 (Default)
# random
#   seed = 67863499 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.543449
# Diagonal elements of inverse mass matrix:
# 0.00140614, 0.00680392
-10254.3,0.984385,0.543449,2,3,0,10255.2,-5.54237,0.227404
-10254.1,1,0.543449,1,1,0,10254.4,-5.5387,0.228334
-10253.9,0.61486,0.543449,2,3,0,10258.4,-5.50501,0.267532
-10254.2,0.918678,0.543449,1,1,0,10254.3,-5.49688,0.270394
-10255.4,0.725159,0.543449,1,1,0,10255.5,-5.48803,0.302728
-10256.5,0.903405,0.543449,2,3,0,10257.1,-5.57631,0.227999
-10256.2,0.995645,0.543449,2,7,0,10257.7,-5.47007,0.271186
-10254.5,1,0.543449,1,1,0,10255.8,-5.48778,0.251326
-10254.1,0.997487,0.543449,3,7,0,10255.2,-5.5258,0.345941
-10254.5,0.972935,0.543449,3,7,0,10257.3,-5.54958,0.398969
-10255.8,0.605094,0.543449,1,3,0,10257.9,-5.5918,0.301126
-10253.9,0.95954,0.543449,2,3,0,10256,-5.55949,0.367183
-10254.4,0.970622,0.543449,2,5,0,10255.3,-5.49333,0.176812
-10255.7,0.780997,0.543449,3,7,0,10256.3,-5.51297,0.132569
-10254.5,0.989341,0.543449,2,3,0,10256,-5.48984,0.173908
-10254.6,0.944522,0.543449,2,3,0,10255.5,-5.48582,0.172967
-10257.8,0.621642,0.543449,2,3,0,10260.2,-5.44775,0.0555336
-10257.1,0.957297,0.543449,2,3,0,10258.3,-5.44341,0.116726
-10256.7,1,0.543449,3,7,0,10257.1,-5.44913,0.116015
-10256.9,0.974839,0.543449,2,3,0,10257.7,-5.45209,0.0921837
-10253.6,0.98173,0.543449,2,7,0,10257.8,-5.52214,0.246678
-10253.5,0.98137,0.543449,2,5,0,10254.4,-5.54199,0.291446
