# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic0_model
# start_datetime = 2021-12-27 17:13:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_data_4.R
# init = 2 (Default)
# random
#   seed = 67863509 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.587327
# Diagonal elements of inverse mass matrix:
# 0.0013045, 0.00776887
-10254.6,1,0.587327,2,3,0,10255.3,-5.55818,0.24775
-10254.2,0.969343,0.587327,3,7,0,10255.1,-5.55033,0.382834
-10253.5,0.975499,0.587327,2,7,0,10254.3,-5.54284,0.307228
-10254.9,0.804393,0.587327,2,7,0,10256.3,-5.58815,0.334228
-10254.7,0.990425,0.587327,2,7,0,10255.8,-5.48223,0.233631
-10254.2,0.967625,0.587327,2,7,0,10256.8,-5.57627,0.35499
-10253.7,0.896042,0.587327,2,7,0,10255.4,-5.52699,0.241625
-10254.1,0.964925,0.587327,1,3,0,10254.8,-5.50433,0.196669
-10253.8,1,0.587327,2,3,0,10254.1,-5.50274,0.241892
-10253.8,0.987271,0.587327,2,3,0,10254,-5.50768,0.233978
-10254.4,0.78205,0.587327,2,7,0,10256,-5.54691,0.389969
-10254.2,0.492766,0.587327,2,5,0,10258,-5.50542,0.299737
-10254.6,0.457158,0.587327,2,5,0,10258.8,-5.54892,0.403296
-10254.1,1,0.587327,1,1,0,10254.5,-5.55891,0.385735
-10255.3,0.653443,0.587327,1,3,0,10256.7,-5.51704,0.373794
-10255.5,1,0.587327,2,7,0,10256.8,-5.50955,0.134242
-10255.2,1,0.587327,1,1,0,10255.7,-5.51375,0.15079
-10253.9,1,0.587327,2,7,0,10255.1,-5.51524,0.305798
-10253.7,0.923938,0.587327,3,7,0,10254.9,-5.55473,0.300047
-10253.7,0.996604,0.587327,2,7,0,10253.8,-5.52588,0.315366
-10255.1,0.686124,0.587327,3,7,0,10256.8,-5.5202,0.37494
-10253.5,1,0.587327,3,7,0,10255.5,-5.53936,0.278815
-10253.5,0.989134,0.587327,3,7,0,10253.6,-5.53342,0.273916
-10253.9,0.935741,0.587327,2,7,0,10254.1,-5.51363,0.215222
-10253.9,0.979041,0.587327,2,3,0,10254.1,-5.50791,0.217074
-10255.4,0.85514,0.587327,2,7,0,10256.5,-5.46635,0.186546
-10255,1,0.587327,2,3,0,10255.5,-5.47331,0.202551
-10255.7,1,0.587327,2,3,0,10256,-5.47946,0.115551
-10253.8,0.88937,0.587327,2,3,0,10256.5,-5.50772,0.231924
-10253.9,0.887173,0.587327,1,3,0,10254.5,-5.50991,0.295453
-10253.8,0.998327,0.587327,1,3,0,10254.4,-5.50432,0.237256
-10254.5,0.789704,0.587327,2,7,0,10255.2,-5.55136,0.238366
-10253.9,1,0.587327,2,3,0,10254.3,-5.52435,0.333385
-10253.5,0.991339,0.587327,2,3,0,10253.9,-5.53353,0.263154
-10253.6,0.984874,0.587327,2,5,0,10254.2,-5.55134,0.302737
-10255.3,0.708975,0.587327,2,7,0,10256.3,-5.48177,0.278607
-10255.6,0.965916,0.587327,2,7,0,10256.9,-5.60341,0.371354
-10255.2,1,0.587327,2,3,0,10255.6,-5.59786,0.409255
-10255.3,0.738024,0.587327,1,3,0,10257.1,-5.55098,0.42927
-10254.9,0.974331,0.587327,2,7,0,10256.5,-5.53962,0.195138
-10254.5,1,0.587327,2,3,0,10255,-5.5264,0.364227
-10253.8,0.981554,0.587327,2,5,0,10256.4,-5.50581,0.254413
-10253.9,0.996299,0.587327,2,3,0,10254.1,-5.51472,0.212287
-10253.8,1,0.587327,2,3,0,10254,-5.5062,0.237161
-10254.1,0.924822,0.587327,2,3,0,10254.3,-5.5247,0.20916
-10253.8,0.993863,0.587327,2,3,0,10254.2,-5.5053,0.224321
-10253.8,0.83151,0.587327,2,7,0,10254.9,-5.55843,0.308427
-10255.2,0.736643,0.587327,2,7,0,10256.3,-5.47222,0.223162
-10256.5,0.552145,0.587327,2,5,0,10259.2,-5.59538,0.285939
-10255.5,1,0.587327,2,3,0,10256.6,-5.58349,0.286084
-10253.9,1,0.587327,2,3,0,10255.1,-5.56629,0.344599
-10253.5,0.939153,0.587327,2,5,0,10254.3,-5.52319,0.260758
-10253.7,0.990622,0.587327,2,7,0,10253.8,-5.55423,0.347507
-10253.7,0.829994,0.587327,2,3,0,10254.7,-5.53922,0.252533
-10256.6,0.526942,0.587327,1,3,0,10256.7,-5.55991,0.186288
-10253.7,1,0.587327,1,3,0,10255.8,-5.53443,0.24996
-10254,0.98918,0.587327,2,5,0,10254.5,-5.55559,0.378112
-10253.5,0.999522,0.587327,3,7,0,10254.1,-5.5309,0.3032
-10255.2,0.704173,0.587327,2,3,0,10255.4,-5.50178,0.335261
-10254.4,1,0.587327,2,3,0,10254.9,-5.54355,0.22607
-10253.5,1,0.587327,2,3,0,10254.2,-5.53656,0.279674
-10254,0.97829,0.587327,3,7,0,10254.1,-5.49736,0.228664
-10256.1,0.921674,0.587327,2,7,0,10256.1,-5.47524,0.102649
-10254.4,0.986273,0.587327,2,3,0,10256.2,-5.4892,0.249151
-10255,0.951689,0.587327,1,3,0,10256,-5.48151,0.155171
-10254,0.96961,0.587327,2,7,0,10255.2,-5.49836,0.252892
-10254.2,0.949678,0.587327,2,3,0,10254.4,-5.52707,0.204728
-10255,0.967763,0.587327,2,7,0,10255.7,-5.57616,0.435573
-10256.2,0.880227,0.587327,3,7,0,10256.6,-5.61212,0.372167
-10254.6,1,0.587327,3,7,0,10256.1,-5.56775,0.414938
-10254.7,1,0.587327,2,3,0,10254.9,-5.58136,0.418249
-10254.4,0.791287,0.587327,2,7,0,10256.3,-5.55766,0.254913
-10255.7,0.767887,0.587327,2,3,0,10256.4,-5.52976,0.410169
-10253.7,0.974942,0.587327,2,3,0,10255.5,-5.558,0.330572
-10254.1,0.754937,0.587327,2,5,0,10255.2,-5.54309,0.236623
-10253.7,1,0.587327,1,1,0,10254,-5.54008,0.25929
-10253.6,1,0.587327,2,3,0,10253.7,-5.53442,0.327781
-10254,0.993651,0.587327,2,7,0,10254.2,-5.5723,0.35164
-10253.9,0.716509,0.587327,3,7,0,10255.9,-5.56815,0.335799
-10253.7,0.997264,0.587327,2,7,0,10254.1,-5.55749,0.312509
-10253.6,1,0.587327,2,3,0,10253.7,-5.52985,0.316547
-10255.2,0.805443,0.587327,2,3,0,10255.6,-5.58539,0.303037
-10253.7,0.987303,0.587327,3,7,0,10255.4,-5.53892,0.345121
-10253.9,0.998919,0.587327,2,7,0,10254,-5.52153,0.218389
-10254.1,0.876031,0.587327,2,3,0,10254.8,-5.51364,0.200127
-10253.8,0.997827,0.587327,2,7,0,10254.3,-5.53807,0.348656
-10253.7,0.99011,0.587327,2,7,0,10254,-5.55845,0.339218
-10253.5,0.987891,0.587327,2,7,0,10253.8,-5.5198,0.277384
-10254.1,0.748945,0.587327,2,7,0,10255.3,-5.56461,0.384063
-10253.7,0.977476,0.587327,3,7,0,10254.3,-5.55526,0.302266
-10253.6,0.944103,0.587327,2,7,0,10254.2,-5.51193,0.251074
-10254,0.906841,0.587327,2,7,0,10254.9,-5.56826,0.319368
-10254,0.999035,0.587327,2,3,0,10254.2,-5.55999,0.380115
