# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 17:14:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_2.R
# init = 2 (Default)
# random
#   seed = 67908709 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.720211
# Diagonal elements of inverse mass matrix:
# 0.00116585, 0.00612476
-10253.4,0.998959,0.720211,2,7,0,10253.6,-5.53823,0.292086
-10253.7,0.961047,0.720211,2,7,0,10254.2,-5.56059,0.328588
-10253.7,0.983041,0.720211,2,3,0,10253.9,-5.53954,0.342605
-10253.5,0.981649,0.720211,2,7,0,10254.1,-5.53558,0.275334
-10253.5,0.995696,0.720211,2,3,0,10253.6,-5.51816,0.256631
-10253.5,0.568204,0.720211,1,3,0,10255.1,-5.51816,0.256631
-10255.5,0.602667,0.720211,1,3,0,10255.7,-5.55135,0.199549
-10259.6,0.557627,0.720211,2,3,0,10261.6,-5.44881,0.296688
-10254.7,1,0.720211,1,1,0,10257.7,-5.48317,0.243815
-10255.9,0.794793,0.720211,2,3,0,10256.6,-5.52238,0.137041
-10254.4,0.82274,0.720211,2,3,0,10257.3,-5.4878,0.201911
-10255.8,0.919916,0.720211,2,3,0,10255.9,-5.47012,0.120391
-10256,0.978291,0.720211,1,1,0,10256.1,-5.46136,0.125937
-10253.6,0.782505,0.720211,2,7,0,10257.5,-5.52516,0.306948
-10253.7,0.72636,0.720211,2,3,0,10254.7,-5.51104,0.247918
-10254.3,0.860589,0.720211,2,7,0,10254.6,-5.56928,0.301034
-10253.5,0.905801,0.720211,3,7,0,10255.3,-5.53763,0.2727
-10253.5,0.489248,0.720211,1,3,0,10255.4,-5.53763,0.2727
-10254.1,0.89472,0.720211,2,3,0,10254.1,-5.54235,0.23695
-10253.6,1,0.720211,2,3,0,10254.1,-5.52385,0.305976
-10254.6,0.758824,0.720211,2,3,0,10254.7,-5.5179,0.350858
-10254.6,0.640006,0.720211,1,1,0,10255.7,-5.5179,0.350858
-10253.5,1,0.720211,2,3,0,10254.6,-5.52033,0.272652
-10256.7,0.470145,0.720211,1,3,0,10257.1,-5.56801,0.202072
-10258,0.68614,0.720211,1,3,0,10259.2,-5.56259,0.160169
-10254.8,1,0.720211,2,7,0,10257.8,-5.51106,0.162822
-10254,0.914112,0.720211,2,7,0,10255.9,-5.50727,0.288647
-10254.4,0.600006,0.720211,2,3,0,10256.2,-5.49078,0.184845
-10254.6,0.98186,0.720211,2,3,0,10254.6,-5.4963,0.165338
-10255,0.939492,0.720211,1,1,0,10255.1,-5.49255,0.143451
-10256.1,0.826266,0.720211,2,3,0,10256.9,-5.46397,0.112784
-10254.2,0.833126,0.720211,2,3,0,10256.6,-5.5102,0.188954
-10254,0.996325,0.720211,3,7,0,10254.7,-5.49661,0.224587
-10254.8,0.719045,0.720211,2,3,0,10255.5,-5.565,0.256597
-10255.5,0.799373,0.720211,1,1,0,10256,-5.5777,0.265713
-10254.7,0.710749,0.720211,2,5,0,10257.8,-5.49743,0.302088
-10254.7,0.872091,0.720211,1,1,0,10255.3,-5.49743,0.302088
-10253.5,1,0.720211,2,3,0,10254.4,-5.52691,0.287525
-10253.5,1,0.720211,2,3,0,10253.5,-5.52476,0.280634
-10253.9,0.955316,0.720211,2,7,0,10254.2,-5.56791,0.350391
-10254.4,0.816389,0.720211,1,1,0,10254.5,-5.57722,0.323341
-10254.4,0.462005,0.720211,1,1,0,10255.8,-5.57722,0.323341
-10253.8,0.955508,0.720211,1,3,0,10255.2,-5.54946,0.270228
