# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 20:22:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_1.R
# init = 2 (Default)
# random
#   seed = 79225495 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.561167
# Diagonal elements of inverse mass matrix:
# 0.00119628, 0.00642612
-10254.4,0.982524,0.561167,2,7,0,10255.6,-5.57471,0.399056
-10256.5,0.741154,0.561167,2,3,0,10257.2,-5.56325,0.475147
-10253.8,0.990802,0.561167,2,7,0,10257.5,-5.55714,0.364811
-10253.9,0.985081,0.561167,1,1,0,10253.9,-5.55534,0.370821
-10253.8,0.908973,0.561167,2,5,0,10255,-5.51623,0.303373
-10254.4,0.784129,0.561167,3,7,0,10258.3,-5.48741,0.211593
-10254.7,0.914702,0.561167,3,7,0,10255.2,-5.53312,0.38361
-10254.6,0.706137,0.561167,2,3,0,10258.1,-5.55538,0.240114
-10253.8,0.996358,0.561167,2,7,0,10254.8,-5.53169,0.239164
-10254.6,0.975567,0.561167,3,15,0,10255,-5.56608,0.414561
-10254.9,0.86312,0.561167,2,3,0,10255.5,-5.57796,0.293956
-10254.8,0.992896,0.561167,3,7,0,10255.5,-5.50398,0.156625
-10253.8,1,0.561167,3,7,0,10255,-5.50818,0.271777
-10253.8,0.913007,0.561167,2,5,0,10254.8,-5.5337,0.339761
-10254.5,0.931012,0.561167,2,7,0,10255.3,-5.50536,0.173597
-10254.7,0.998537,0.561167,3,15,0,10254.7,-5.58891,0.375396
-10253.7,0.998271,0.561167,3,7,0,10255.1,-5.55766,0.350313
-10254.3,0.876989,0.561167,2,7,0,10255.4,-5.53411,0.213513
-10256,0.851676,0.561167,2,5,0,10256.6,-5.5643,0.214811
-10253.8,0.987339,0.561167,1,3,0,10255.6,-5.54897,0.275136
-10253.8,0.996936,0.561167,3,7,0,10254.2,-5.55639,0.293228
-10254.3,0.979215,0.561167,2,7,0,10254.7,-5.57359,0.321311
-10253.9,1,0.561167,2,7,0,10254.4,-5.51502,0.308757
-10254.8,0.969239,0.561167,3,7,0,10255.7,-5.58806,0.411997
-10254,0.999784,0.561167,3,15,0,10254.8,-5.50371,0.205478
-10253.6,0.978614,0.561167,3,7,0,10254.7,-5.51633,0.276061
-10253.7,0.988513,0.561167,1,3,0,10254,-5.50992,0.236779
-10254.1,0.855754,0.561167,2,5,0,10255.4,-5.57129,0.370928
-10253.6,0.89089,0.561167,2,7,0,10257.8,-5.52203,0.300056
-10253.5,0.998695,0.561167,2,7,0,10253.8,-5.51853,0.26458
-10253.8,0.911964,0.561167,2,5,0,10254.6,-5.54864,0.273667
-10254.2,0.959357,0.561167,2,3,0,10254.5,-5.5516,0.38592
-10254.2,0.95622,0.561167,3,7,0,10254.7,-5.49329,0.2517
-10253.8,0.853715,0.561167,2,3,0,10255.7,-5.54882,0.2681
-10254,0.979815,0.561167,2,5,0,10255,-5.52943,0.220152
-10254.1,0.968846,0.561167,2,3,0,10254.5,-5.49611,0.2534
-10255,0.908227,0.561167,3,7,0,10255.5,-5.53301,0.18172
-10253.8,0.93881,0.561167,2,3,0,10255.6,-5.5261,0.230716
-10253.8,0.980329,0.561167,2,5,0,10254.2,-5.54119,0.252715
-10254,0.970602,0.561167,3,7,0,10254.5,-5.55137,0.259766
-10253.7,0.956955,0.561167,2,3,0,10254.6,-5.55541,0.30928
-10253.5,0.996463,0.561167,2,7,0,10254,-5.52034,0.266771
-10256,0.57156,0.561167,2,3,0,10256.6,-5.57676,0.245583
-10254.2,0.945412,0.561167,2,5,0,10257.8,-5.50248,0.191928
-10256.7,0.598994,0.561167,3,7,0,10258.2,-5.56418,0.193285
-10255,1,0.561167,2,3,0,10256.5,-5.54677,0.206688
-10254.4,0.823371,0.561167,2,3,0,10257.4,-5.50426,0.305995
-10253.4,1,0.561167,2,3,0,10254.3,-5.53399,0.282055
-10254.1,0.872968,0.561167,2,7,0,10254.6,-5.52565,0.346758
-10254,0.990544,0.561167,2,7,0,10254.9,-5.51475,0.206476
-10254,0.949272,0.561167,2,3,0,10254.5,-5.499,0.249129
-10254,0.74854,0.561167,2,5,0,10256,-5.499,0.249129
-10253.5,0.99404,0.561167,2,7,0,10254.4,-5.54034,0.308598
-10253.5,0.990161,0.561167,2,7,0,10253.5,-5.53129,0.306246
-10253.5,0.971679,0.561167,2,7,0,10253.7,-5.53785,0.273445
-10253.6,0.966214,0.561167,2,7,0,10254,-5.53713,0.325101
-10254.7,0.81958,0.561167,3,7,0,10256.2,-5.50877,0.335802
-10254.7,0.992112,0.561167,2,7,0,10255.6,-5.58162,0.324234
-10254.9,0.994441,0.561167,2,3,0,10255.2,-5.56474,0.42661
-10254.1,0.965904,0.561167,2,7,0,10257.8,-5.51142,0.194917
-10254.1,0.999028,0.561167,2,3,0,10254.3,-5.49501,0.238928
-10254.1,0.995432,0.561167,3,15,0,10254.9,-5.57424,0.34624
-10254.4,0.968187,0.561167,2,3,0,10254.8,-5.56445,0.40148
-10253.9,0.996205,0.561167,2,7,0,10255,-5.51661,0.211782
-10253.5,0.984376,0.561167,2,5,0,10254.6,-5.54772,0.31623
-10253.5,0.991764,0.561167,2,3,0,10253.6,-5.53507,0.316074
-10254.4,0.904321,0.561167,2,3,0,10254.4,-5.56761,0.286254
-10253.8,1,0.561167,1,1,0,10254.3,-5.55871,0.304728
-10253.8,0.624703,0.561167,1,3,0,10255.9,-5.55871,0.304728
-10253.5,0.994704,0.561167,2,3,0,10253.8,-5.54427,0.307826
-10254,0.979578,0.561167,2,7,0,10254.2,-5.57112,0.366232
-10254,0.944514,0.561167,3,7,0,10254.6,-5.53652,0.36066
-10254,0.88261,0.561167,2,3,0,10255.2,-5.5297,0.346039
-10254,0.728056,0.561167,1,1,0,10254.9,-5.5297,0.346039
-10253.7,0.890097,0.561167,2,7,0,10255.2,-5.5403,0.256276
-10253.6,0.784381,0.561167,2,3,0,10255.5,-5.52132,0.296262
-10253.5,0.990681,0.561167,2,7,0,10254.4,-5.54306,0.32966
-10254,0.933522,0.561167,2,3,0,10254.1,-5.5548,0.269398
-10254.5,0.927314,0.561167,2,3,0,10255.2,-5.49031,0.258497
-10254,0.975473,0.561167,2,7,0,10256.6,-5.56865,0.365655
-10254.3,0.964959,0.561167,2,3,0,10254.4,-5.56354,0.398972
-10253.7,0.997269,0.561167,2,7,0,10254.7,-5.55121,0.350653
-10253.9,0.588234,0.561167,2,5,0,10257.1,-5.51633,0.211274
-10254.7,0.762243,0.561167,1,3,0,10255.6,-5.49176,0.280523
-10253.9,1,0.561167,2,3,0,10254.8,-5.50452,0.213253
-10253.9,0.904879,0.561167,1,3,0,10255.1,-5.53445,0.234436
-10254.8,0.969049,0.561167,2,7,0,10255.6,-5.48487,0.162104
-10253.8,0.984914,0.561167,2,5,0,10255.7,-5.55978,0.363429
-10255.8,0.871426,0.561167,2,7,0,10256.1,-5.58502,0.468089
-10256.3,0.934618,0.561167,1,1,0,10256.4,-5.58699,0.485435
-10255.6,0.908844,0.561167,2,3,0,10257.4,-5.58652,0.45976
-10254.3,0.812732,0.561167,3,7,0,10258.6,-5.56607,0.290226
-10254.2,0.970367,0.561167,2,3,0,10254.7,-5.52521,0.347922
-10254.2,0.901969,0.561167,2,3,0,10255.3,-5.5402,0.227842
-10253.5,0.996709,0.561167,2,7,0,10254.3,-5.53846,0.275484
-10253.9,0.929417,0.561167,2,7,0,10254.2,-5.55648,0.288165
-10254.3,0.968032,0.561167,3,7,0,10254.9,-5.48983,0.202583
-10253.8,0.977495,0.561167,1,3,0,10254.9,-5.50397,0.254171
-10254,0.951489,0.561167,2,7,0,10254.7,-5.55853,0.281526
-10253.6,0.967795,0.561167,1,3,0,10254.3,-5.54349,0.334045
-10253.7,0.99781,0.561167,2,7,0,10253.9,-5.55367,0.3518
-10254.8,0.954419,0.561167,2,3,0,10255,-5.58546,0.42011
-10254.8,0.918391,0.561167,2,3,0,10255.4,-5.58901,0.359448
-10254.1,0.867765,0.561167,3,7,0,10256,-5.50877,0.304077
-10254.1,0.854839,0.561167,1,3,0,10255.6,-5.53371,0.220774
-10253.6,0.997404,0.561167,2,7,0,10254.3,-5.53835,0.326472
-10254.3,0.955536,0.561167,2,3,0,10254.5,-5.5788,0.371123
-10254.1,0.927132,0.561167,3,7,0,10255.1,-5.52057,0.201771
-10253.5,0.998983,0.561167,2,7,0,10254.3,-5.53125,0.301013
-10254.4,0.89324,0.561167,2,7,0,10255,-5.48789,0.232262
-10254,1,0.561167,3,7,0,10254.5,-5.56555,0.370899
-10255.4,0.950827,0.561167,3,7,0,10256.3,-5.59504,0.445286
-10254.7,0.837627,0.561167,3,7,0,10256.7,-5.52621,0.183245
-10254.1,1,0.561167,2,3,0,10254.8,-5.49772,0.20977
-10253.7,0.971326,0.561167,3,7,0,10254.8,-5.51624,0.291725
-10256.3,0.732569,0.561167,2,7,0,10256.8,-5.5911,0.279638
-10254.6,1,0.561167,1,1,0,10256,-5.57305,0.29337
-10254.9,0.992708,0.561167,2,3,0,10255,-5.54656,0.410912
-10254,0.998927,0.561167,2,7,0,10255.3,-5.5445,0.249403
-10256.5,0.657918,0.561167,1,3,0,10256.7,-5.57246,0.219107
-10254.3,0.968782,0.561167,2,5,0,10258,-5.4974,0.186768
-10254.5,0.987948,0.561167,2,3,0,10254.6,-5.48519,0.201552
-10254.1,0.922385,0.561167,3,7,0,10255.1,-5.49857,0.26028
-10253.6,0.936044,0.561167,2,5,0,10254.8,-5.53107,0.321009
-10256.7,0.583456,0.561167,2,3,0,10257.5,-5.48879,0.347624
-10254.5,1,0.561167,1,1,0,10256.2,-5.50741,0.319349
-10255.5,0.769276,0.561167,1,1,0,10255.6,-5.50066,0.34168
-10253.5,0.963593,0.561167,1,3,0,10255.7,-5.52717,0.264244
-10253.5,0.99588,0.561167,2,3,0,10253.5,-5.53215,0.273052
-10255.6,0.735466,0.561167,2,7,0,10256.6,-5.54024,0.174966
-10255.3,1,0.561167,2,3,0,10255.8,-5.51164,0.362942
-10254.2,1,0.561167,1,1,0,10255.1,-5.51618,0.328405
-10253.7,0.894092,0.561167,1,3,0,10255.2,-5.53515,0.245141
-10254.4,0.86827,0.561167,2,3,0,10255.2,-5.52847,0.197822
