# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 20:22:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_1.R
# init = 2 (Default)
# random
#   seed = 79225495 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.665104
# Diagonal elements of inverse mass matrix:
# 0.000962826, 0.00566005
-10253.5,0.747465,0.665104,2,7,0,10255.7,-5.53847,0.286738
-10255.2,0.612027,0.665104,2,3,0,10255.9,-5.52389,0.386006
-10254.2,1,0.665104,2,3,0,10255.1,-5.54063,0.373529
-10253.9,1,0.665104,2,7,0,10254.2,-5.54376,0.253857
-10255,0.8201,0.665104,1,3,0,10255.1,-5.54902,0.211421
-10255.6,0.950023,0.665104,2,3,0,10256,-5.56004,0.216759
-10254.1,1,0.665104,1,1,0,10255.2,-5.54829,0.246806
-10255.9,0.87923,0.665104,2,3,0,10256,-5.4836,0.307939
-10254.1,0.909664,0.665104,2,7,0,10257.8,-5.57445,0.364407
-10254.7,0.873697,0.665104,2,7,0,10256.2,-5.48367,0.171244
-10254.6,0.982023,0.665104,3,7,0,10255.1,-5.48098,0.198875
-10254.5,0.847679,0.665104,3,7,0,10256,-5.51071,0.17316
-10255.2,0.871088,0.665104,3,7,0,10256.6,-5.47063,0.17162
-10255,1,0.665104,2,3,0,10255.5,-5.48835,0.145188
-10255.5,0.853719,0.665104,2,3,0,10256.4,-5.47409,0.255684
-10254.5,0.992001,0.665104,2,7,0,10256.6,-5.57135,0.290906
-10253.7,1,0.665104,2,3,0,10254.4,-5.55268,0.293557
-10254,0.925051,0.665104,1,1,0,10254,-5.56105,0.291621
-10253.9,1,0.665104,3,7,0,10254,-5.52722,0.337529
-10254,0.988836,0.665104,2,5,0,10254.5,-5.5449,0.368101
-10253.8,1,0.665104,2,3,0,10254,-5.55198,0.364368
-10253.9,0.996294,0.665104,1,1,0,10253.9,-5.55392,0.369246
-10253.7,0.955223,0.665104,2,3,0,10254.2,-5.54883,0.348548
-10253.9,0.982373,0.665104,2,3,0,10253.9,-5.56306,0.315947
-10255,0.885322,0.665104,3,7,0,10255.1,-5.48094,0.257758
-10253.5,0.914315,0.665104,2,3,0,10255.7,-5.52398,0.281984
-10253.5,0.841164,0.665104,1,3,0,10254,-5.52398,0.281984
-10254.4,0.926172,0.665104,2,7,0,10255.1,-5.58239,0.361002
-10256,0.704443,0.665104,2,3,0,10257.1,-5.61087,0.391161
-10255.5,0.948014,0.665104,2,3,0,10256.4,-5.58867,0.45274
-10254.2,0.98271,0.665104,2,3,0,10255.5,-5.5701,0.384606
-10253.7,0.999578,0.665104,3,7,0,10254.2,-5.55648,0.334134
-10253.5,0.988757,0.665104,2,7,0,10254.1,-5.51824,0.272985
-10254.2,0.968841,0.665104,2,7,0,10254.3,-5.50479,0.186166
-10254,0.908432,0.665104,2,3,0,10255.1,-5.49876,0.218807
-10253.4,0.994295,0.665104,2,7,0,10254.2,-5.53103,0.293683
-10253.5,0.980431,0.665104,2,3,0,10253.6,-5.5262,0.292644
-10253.4,0.998364,0.665104,2,3,0,10253.5,-5.53397,0.287685
-10254.6,0.812022,0.665104,2,7,0,10255.6,-5.49379,0.285135
-10254.9,0.922318,0.665104,1,1,0,10255.2,-5.48977,0.287132
-10254.9,0.704811,0.665104,1,1,0,10256,-5.48977,0.287132
-10254.7,0.956315,0.665104,2,7,0,10256.2,-5.51206,0.342027
-10256.3,0.964193,0.665104,2,7,0,10256.8,-5.61492,0.393785
-10254.5,1,0.665104,2,3,0,10256.4,-5.57905,0.400308
-10253.9,0.934703,0.665104,2,5,0,10256.8,-5.5006,0.230657
-10253.4,0.990797,0.665104,3,7,0,10254.4,-5.52988,0.288179
-10253.5,0.977902,0.665104,2,3,0,10253.6,-5.53077,0.267469
-10254.3,0.768592,0.665104,2,3,0,10254.7,-5.52304,0.351093
-10255,0.993802,0.665104,3,7,0,10255.4,-5.47893,0.246422
-10256.2,0.688588,0.665104,1,1,0,10256.4,-5.47042,0.273658
-10254.5,1,0.665104,1,1,0,10255.7,-5.48796,0.24641
-10254.2,0.900967,0.665104,2,7,0,10257.3,-5.57064,0.389992
-10254,0.988328,0.665104,2,3,0,10254.4,-5.56429,0.37496
-10254.1,1,0.665104,2,3,0,10254.1,-5.57008,0.371795
-10254.7,0.798513,0.665104,2,7,0,10255.9,-5.57007,0.275564
-10253.9,0.831941,0.665104,2,3,0,10256.3,-5.54125,0.355774
-10254,0.97259,0.665104,1,1,0,10254,-5.54222,0.364845
-10254,0.983527,0.665104,2,3,0,10254.3,-5.56999,0.363539
-10255,0.925718,0.665104,2,3,0,10255.1,-5.57577,0.435936
-10255.1,1,0.665104,1,1,0,10255.2,-5.57845,0.438181
-10254.7,0.910982,0.665104,2,3,0,10255.6,-5.57925,0.313219
-10254.2,0.907993,0.665104,2,3,0,10255.6,-5.55516,0.389578
-10255.2,0.938492,0.665104,2,7,0,10255.7,-5.59316,0.435049
-10253.8,0.867605,0.665104,3,7,0,10256.1,-5.56198,0.31771
-10253.8,0.999715,0.665104,2,3,0,10253.9,-5.54423,0.354629
-10254.2,0.841564,0.665104,1,3,0,10254.8,-5.56332,0.284017
-10254.2,1,0.665104,3,7,0,10254.3,-5.50361,0.291769
-10255,0.988845,0.665104,2,7,0,10255.3,-5.59278,0.354999
-10254.2,0.994389,0.665104,3,7,0,10256.2,-5.56956,0.387028
-10254.1,0.999243,0.665104,2,3,0,10254.2,-5.56348,0.381444
-10254.3,0.943039,0.665104,2,3,0,10254.4,-5.57898,0.360657
-10255.6,0.962383,0.665104,3,7,0,10256.1,-5.58897,0.460736
-10253.6,0.777258,0.665104,2,3,0,10257.1,-5.55406,0.328108
-10253.7,0.981158,0.665104,2,5,0,10254,-5.50737,0.24518
-10253.7,0.979904,0.665104,2,3,0,10253.8,-5.5287,0.24207
-10253.7,1,0.665104,2,3,0,10253.7,-5.51131,0.271398
-10253.4,0.858709,0.665104,3,7,0,10255.2,-5.53716,0.288978
-10254.2,0.877977,0.665104,2,7,0,10254.7,-5.5746,0.331034
-10255.6,0.689677,0.665104,1,3,0,10256.5,-5.57197,0.245198
-10255.6,0.973761,0.665104,2,3,0,10256.7,-5.47244,0.254508
-10255.2,1,0.665104,3,7,0,10255.8,-5.5159,0.150357
-10253.9,0.65944,0.665104,2,7,0,10258.6,-5.55664,0.373592
-10254.7,0.899668,0.665104,2,3,0,10255.2,-5.58797,0.366947
-10257,0.504257,0.665104,2,3,0,10257.8,-5.53984,0.456033
-10254.9,1,0.665104,1,1,0,10256.4,-5.55701,0.420252
-10254.7,0.93641,0.665104,2,7,0,10255.8,-5.53403,0.194615
-10253.9,0.990587,0.665104,2,3,0,10254.6,-5.50286,0.255994
-10254.2,0.961746,0.665104,2,3,0,10254.5,-5.49311,0.210898
-10255,0.96248,0.665104,2,3,0,10255.4,-5.47348,0.174206
-10253.5,0.988451,0.665104,2,7,0,10255.7,-5.53906,0.282929
-10255.8,0.608838,0.665104,2,3,0,10257.3,-5.54125,0.171087
-10255.1,0.939371,0.665104,2,3,0,10256.7,-5.54128,0.410914
-10254.7,1,0.665104,2,7,0,10255.2,-5.54708,0.217999
-10254.9,0.993254,0.665104,3,7,0,10255.3,-5.4836,0.259129
-10253.6,0.940527,0.665104,2,3,0,10255.2,-5.5146,0.252243
-10253.6,0.980613,0.665104,2,3,0,10253.7,-5.52589,0.248104
-10254.5,0.841576,0.665104,3,7,0,10255.5,-5.57259,0.407453
-10254.5,0.904677,0.665104,1,3,0,10255.6,-5.57259,0.407453
-10253.9,0.966435,0.665104,3,7,0,10255.1,-5.55546,0.282861
-10253.7,0.990592,0.665104,2,7,0,10254.3,-5.51101,0.25413
-10253.9,0.974896,0.665104,2,3,0,10254.1,-5.50752,0.217848
-10253.6,0.809255,0.665104,2,7,0,10255.1,-5.555,0.318786
-10253.6,0.958967,0.665104,2,7,0,10254.3,-5.52186,0.241262
-10253.6,0.681776,0.665104,1,3,0,10255.1,-5.52186,0.241262
-10254,0.967563,0.665104,2,3,0,10254,-5.50084,0.261144
-10254.9,0.975847,0.665104,3,7,0,10255.8,-5.49032,0.151998
-10255.3,0.923202,0.665104,3,7,0,10255.8,-5.47146,0.22323
-10254.1,0.946026,0.665104,2,3,0,10255.6,-5.49642,0.208973
-10254.1,0.381053,0.665104,1,3,0,10257.7,-5.49642,0.208973
-10253.5,0.986178,0.665104,2,7,0,10254.6,-5.54269,0.300095
-10253.5,0.947419,0.665104,3,7,0,10254.6,-5.53988,0.316851
-10253.7,0.980706,0.665104,1,3,0,10254,-5.55626,0.343199
-10253.4,0.999555,0.665104,2,7,0,10253.7,-5.53352,0.287761
-10254.4,0.910933,0.665104,3,7,0,10254.4,-5.49069,0.25086
-10254.1,0.995606,0.665104,2,3,0,10254.5,-5.53473,0.22175
-10253.9,0.980712,0.665104,2,7,0,10254.7,-5.50388,0.225878
-10253.9,0.986667,0.665104,2,3,0,10254.2,-5.50358,0.212197
-10253.7,0.881652,0.665104,2,5,0,10254.9,-5.55882,0.332655
-10253.5,0.993634,0.665104,2,7,0,10254,-5.54054,0.308699
-10254.8,0.851622,0.665104,2,7,0,10255.3,-5.5827,0.421464
-10253.7,0.988547,0.665104,2,7,0,10255.2,-5.55158,0.292916
-10254.1,0.944012,0.665104,2,7,0,10254.3,-5.50868,0.303785
-10254.1,0.985868,0.665104,3,7,0,10254.6,-5.51943,0.204672
-10253.6,0.982682,0.665104,2,3,0,10254.2,-5.51699,0.244583
-10255.8,0.565879,0.665104,1,3,0,10256.2,-5.55119,0.191417
-10254.1,1,0.665104,1,1,0,10255.3,-5.54124,0.235185
-10254.7,0.981841,0.665104,2,7,0,10255.4,-5.55659,0.413721
-10253.6,1,0.665104,3,7,0,10255,-5.55053,0.339087
-10254,0.880343,0.665104,1,3,0,10254.2,-5.53185,0.352146
-10254.5,0.94653,0.665104,2,7,0,10254.8,-5.52939,0.196673
-10254,0.939614,0.665104,2,5,0,10255,-5.54157,0.368038
-10253.7,0.811635,0.665104,2,3,0,10255.3,-5.52393,0.314333
-10254,0.905975,0.665104,1,1,0,10254.1,-5.51829,0.324611
-10255.1,0.920435,0.665104,3,7,0,10255.6,-5.54655,0.418493
-10253.6,1,0.665104,2,3,0,10255.1,-5.54843,0.28556
