# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 17:14:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_4.R
# init = 2 (Default)
# random
#   seed = 67908718 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.633837
# Diagonal elements of inverse mass matrix:
# 0.00116315, 0.00613639
-10253.6,0.662914,0.633837,2,7,0,10260,-5.51907,0.24214
-10253.9,0.898578,0.633837,2,3,0,10254,-5.51012,0.288703
-10253.9,0.988201,0.633837,1,3,0,10254.7,-5.50009,0.226353
-10254.1,0.985984,0.633837,2,3,0,10254.2,-5.50949,0.198285
-10253.5,0.995696,0.633837,3,7,0,10254.3,-5.52943,0.257178
-10253.6,0.927459,0.633837,2,5,0,10254.1,-5.55258,0.305023
-10253.8,0.618109,0.633837,2,3,0,10256.5,-5.55686,0.299563
-10253.7,1,0.633837,2,3,0,10253.8,-5.54047,0.3432
-10254.3,0.965851,0.633837,2,7,0,10254.3,-5.5773,0.337661
-10254.8,0.969543,0.633837,1,3,0,10255.6,-5.58521,0.415686
-10254.2,0.901368,0.633837,3,7,0,10255.8,-5.5773,0.358792
-10255.6,0.912541,0.633837,1,3,0,10256.7,-5.60205,0.437558
-10255.7,0.995377,0.633837,2,3,0,10255.8,-5.60559,0.442199
-10255.6,1,0.633837,2,3,0,10255.8,-5.5995,0.447835
-10253.9,0.941083,0.633837,2,7,0,10256.3,-5.56169,0.306801
-10256.1,0.688377,0.633837,3,7,0,10257.1,-5.48018,0.302972
-10254.4,1,0.633837,2,3,0,10255.7,-5.52803,0.196138
-10254.1,1,0.633837,2,3,0,10254.7,-5.52234,0.339764
-10253.9,0.985516,0.633837,1,3,0,10254.6,-5.5439,0.363451
-10253.7,1,0.633837,2,3,0,10253.9,-5.55511,0.355266
-10253.6,0.985196,0.633837,2,3,0,10253.9,-5.54965,0.343992
-10254.6,0.671162,0.633837,2,3,0,10255.9,-5.52264,0.359372
-10254.6,0.587996,0.633837,1,1,0,10255.9,-5.52264,0.359372
-10254.7,0.97962,0.633837,2,3,0,10255.1,-5.51783,0.356488
-10254.9,0.951506,0.633837,1,1,0,10255.3,-5.51396,0.353505
-10254.3,1,0.633837,2,5,0,10255,-5.53015,0.205184
-10253.5,0.791953,0.633837,2,3,0,10255.9,-5.53272,0.302293
-10253.5,0.399974,0.633837,1,3,0,10256.3,-5.53272,0.302293
-10254.2,0.719543,0.633837,2,3,0,10255,-5.53501,0.366327
-10253.5,0.999636,0.633837,2,3,0,10254.2,-5.54496,0.313821
-10253.5,0.919117,0.633837,2,3,0,10253.9,-5.53006,0.30746
-10254.4,0.805745,0.633837,2,7,0,10255.1,-5.53917,0.217811
-10254.4,0.639324,0.633837,1,1,0,10255.5,-5.53917,0.217811
-10254.8,0.959879,0.633837,2,7,0,10255,-5.52928,0.380238
-10254,0.745957,0.633837,2,3,0,10257,-5.56815,0.323411
-10253.9,0.994567,0.633837,2,3,0,10254.2,-5.56609,0.367335
-10254.2,0.763426,0.633837,2,3,0,10255.7,-5.57622,0.343561
-10254,0.749558,0.633837,2,5,0,10255.9,-5.55197,0.265828
-10253.9,0.994085,0.633837,2,7,0,10254.4,-5.50189,0.24545
-10253.6,1,0.633837,2,3,0,10253.9,-5.51395,0.248952
-10253.6,0.992637,0.633837,2,3,0,10253.7,-5.51331,0.252624
-10254.1,0.941572,0.633837,2,3,0,10254.1,-5.52067,0.205803
-10254.3,0.998729,0.633837,3,7,0,10254.6,-5.4888,0.230024
-10254.5,0.986069,0.633837,1,1,0,10254.6,-5.48507,0.22273
-10254.9,0.977056,0.633837,2,3,0,10255,-5.47552,0.212538
