"log_0, 1 chns","log_0, 2 chns","log_0, 3 chns","log_0, 4 chns","log_1, 1 chns","log_1, 2 chns","log_1, 3 chns","log_1, 4 chns","log_1, 1 c++","log_1, 2 c++","log_1, 3 c++","log_1, 4 c++"
76.298523463,97.175290247,112.987868681,135.43956873,73.816967243,77.78888873,81.03905547,87.395658305,75.146360881,143.977031327,228.805706327,284.279261641
75.864651465,94.423147167,106.747233285,134.95282234,37.189959016,41.777247012,46.947552416,50.554714142,38.731662938,75.553878517,109.468037035,142.795021127
71.834657026,92.805754547,112.61841952,129.223293145,24.346764744,30.577763895,36.987637756,49.276317733,26.311954464,51.462528172,76.085827249,102.867839024
73.698860265,91.944026493,114.409796708,132.777034672,20.994142486,25.422714554,37.193595909,46.675712321,21.86575085,38.818680973,61.68001315,79.036705755
73.822447014,88.886752172,111.517503054,141.33499854,18.222676305,25.133944863,36.129230209,47.627647858,18.22012094,32.882331111,49.429306752,66.214744452
71.799507615,94.305923221,109.389169993,136.42232172,15.931192856,26.288405048,36.421741975,49.165547187,15.654517926,29.463947121,43.666941401,57.143395527
71.413719241,90.233545478,110.544875922,133.643367887,15.081703007,25.188140615,36.484832237,50.091125725,14.648663892,25.539339391,39.278345603,51.770885495
70.351745332,91.104646805,109.8328824,139.719445099,13.800798009,25.724405468,37.647842535,48.946820563,13.134884435,24.652730689,35.595556241,47.958767987
74.138442089,91.276382545,106.686658023,137.351248071,13.677857397,26.311565115,38.82410618,49.530741953,13.224915515,24.475650285,37.071315812,47.684571757
