1_1,1_3,1_5,_1_1,_3_1,_5_1
43.6061905,43.406381291,46.115424291,43.023577416,161.832132875,226.778861833
0.0,0.0,0.0,0.0,0.0,0.0
41.101202416,42.52841825,45.631029125,42.591347459,52.834935333,123.49064225
0.0,0.0,0.0,0.0,0.0,0.0
41.53149325,45.253871709,45.509461583,41.355607417,50.306368625,80.401766917
0.0,0.0,0.0,0.0,0.0,0.0
40.601035084,44.155861125,48.1217435,47.258512334,57.210158458,81.802767166
0.0,0.0,0.0,0.0,0.0,0.0
41.316372291,43.130985084,46.466223959,60.415388584,57.933375416,78.305929666
