num_threads,num_cpp_chains,num_julia_chains,min,median,max
1,1,1,59.060380974,59.9223117695,60.784242565
1,1,2,59.835812789,60.530017627,61.224222465
1,2,1,117.719260428,118.948575937,120.177891446
1,1,4,65.955327134,67.84612627850001,69.736925423
1,4,1,238.741523023,239.48408313750002,240.226643252
4,1,1,16.382414222,17.176119876500003,17.969825531
4,1,2,21.630126043,21.686776178000002,21.743426313
4,2,1,35.19974416,35.487170481,35.774596802
4,1,4,37.337652832,37.6419691695,37.946285507
4,4,1,66.151490975,67.4522808805,68.753070786
8,1,1,11.205836749,11.8013489175,12.396861086
8,1,2,20.286481024,20.576602895500002,20.866724767
8,2,1,20.902334782,21.091243008,21.280151234
8,1,4,40.888745708,41.074950357000006,41.261155006
8,4,1,41.318695438,42.463454532499995,43.608213627
