num_threads,num_cpp_chains,num_julia_chains,min,median,max
1,1,1,54.116993419,55.2271752925,56.337357166
1,1,2,62.554917852,64.4801459915,66.405374131
1,2,1,113.654472504,114.531499113,115.408525722
1,1,4,106.017415589,106.1197326185,106.222049648
1,4,1,212.283728052,212.470894198,212.658060344
4,1,1,51.779357867,52.6166065605,53.453855254
4,1,2,60.099651143,61.311717684,62.523784225
4,2,1,60.78841438,62.671694282999994,64.554974186
4,1,4,107.556671246,108.31348291649999,109.070294587
4,4,1,104.02493791,104.2557638275,104.486589745
8,1,1,53.589769718,53.801092845,54.012415972
8,1,2,60.779084317,61.472906949999995,62.166729583
8,2,1,60.288392826,60.334375609999995,60.380358394
8,1,4,103.092444436,104.62402791299999,106.15561139
8,4,1,102.81082432,103.396177724,103.981531128
