num_threads,num_cpp_chains,num_julia_chains,min,median,max
1,1,1,36.483323541,36.770038666,37.056753791
1,1,2,36.313412667,36.421712896,36.530013125
1,2,1,74.133010167,74.321737063,74.510463959
1,1,4,36.946056792,37.302050792,37.658044792
1,4,1,147.175173333,148.91094381250002,150.646714292
4,1,1,10.746048,10.944275167,11.142502334
4,1,2,13.811507,14.304251,14.796995
4,2,1,19.32948225,19.3590462085,19.388610167
4,1,4,25.945968292,26.2248728335,26.503777375
4,4,1,36.447285042,36.8377716255,37.228258209
7,1,1,8.516174166,8.7585988745,9.001023583
7,1,2,14.26596725,14.6301649585,14.994362667
7,2,1,14.067888375,14.1530535625,14.23821875
7,1,4,29.455503708,29.8024215415,30.149339375
7,4,1,26.319558375,26.411734457999998,26.503910541
9,1,1,8.383912292,8.453341167,8.522770042
9,1,2,15.169628708,15.498424708,15.827220708
9,2,1,13.272627542,13.2854975,13.298367458
9,1,4,29.953119292,30.3245459585,30.695972625
9,4,1,24.376061125,24.4108555625,24.44565
